timestamp,framework,commit,model,quant,threads,numa,pp512_tps,tg128_tps,file_size_bytes,bpw,ppl_wt2_c2048,ppl_fp16_anchor,tool,notes
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_0,12,none,1162.91,78.48,469080896,4.929,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_0,24,none,1291.37,106.13,469080896,4.929,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_0,48,none,1332.31,96.47,469080896,4.929,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_0,12,node0-cpubind,1231.12,88.93,469080896,4.929,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_0,24,none,2089.05,131.8,469080896,4.929,,,llama-bench,rtr; p512 n128 r3; -rtr 1 run-time repack; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ4_KS,24,none,,,458375488,4.815,21.7157,18.4883,llama-perplexity,wt2-raw full test; ctx2048; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ4_KS,1,none,149.77,21.74,458375488,4.815,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ4_KS,6,none,799.26,70.94,458375488,4.815,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ4_KS,12,none,1445.03,98.84,458375488,4.815,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ4_KS,24,none,1485.04,112.18,458375488,4.815,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ4_KS,48,none,1898.77,103.42,458375488,4.815,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ4_KS,12,node0-cpubind,1485.8,114.7,458375488,4.815,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ4_KS,24,none,1648.43,129.58,458375488,4.815,,,llama-bench,rtr; p512 n128 r3; -rtr 1 run-time repack; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ3_K,24,none,,,373163136,3.908,22.9197,18.4883,llama-perplexity,"wt2-raw full test; ctx2048; imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ3_K,1,none,148.01,19.06,373163136,3.908,,,llama-bench,"p512 n128 r3; imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ3_K,6,none,799.1,76.39,373163136,3.908,,,llama-bench,"p512 n128 r3; imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ3_K,12,none,1438.77,103.03,373163136,3.908,,,llama-bench,"p512 n128 r3; imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ3_K,24,none,1477.33,124.12,373163136,3.908,,,llama-bench,"p512 n128 r3; imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ3_K,48,none,1805.15,116.63,373163136,3.908,,,llama-bench,"p512 n128 r3; imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ3_K,12,node0-cpubind,1486.16,126.46,373163136,3.908,,,llama-bench,"p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,IQ3_K,24,none,1669.72,147.11,373163136,3.908,,,llama-bench,"rtr; p512 n128 r3; -rtr 1 run-time repack; imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q2_K,24,none,,,347288704,3.633,38.0581,18.4883,llama-perplexity,"wt2-raw full test; ctx2048; imatrix(ik,wt2-train-100k)"
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q2_K,1,none,148.33,23.25,347288704,3.633,,,llama-bench,"p512 n128 r3; imatrix(ik,wt2-train-100k)"
